Aglomeración;SC Función ciudades;Departamento;Municipio;Divipola;AÑO;Personas;Hectareas;,,
Fuera SC;Fuera SC;25;Paratebueno;25530;2018;7809;14150,99598;,
Fuera SC;Fuera SC;25;Pasca;25535;2018;12479;14735,43578;,
Fuera SC;Fuera SC;25;Puerto Salgar;25572;2018;19665;16252,10672;,
Fuera SC;Fuera SC;25;Puli;25580;2018;3031;5930,552886;,
Fuera SC;Fuera SC;25;Quebradanegra;25592;2018;4766;296,2007;,
Fuera SC;Fuera SC;25;Quetame;25594;2018;7298;4389,618729;,
Fuera SC;Fuera SC;25;Quipile;25596;2018;8146;836,278583;,
Fuera SC;Fuera SC;25;Apulo;25599;2018;7812;2992,027714;,
A-Girardot;En aglomeracion;25;Ricaurte;25612;2018;9844;1171,735485;,
Fuera SC;Fuera SC;25;San Antonio del Tequendama;25645;2018;13272;2980,585402;,
Fuera SC;Fuera SC;25;San Bernardo;25649;2018;10775;13673,25354;,
Fuera SC;Fuera SC;25;San Cayetano;25653;2018;5354;6511,683536;,
Fuera SC;Fuera SC;25;San Francisco;25658;2018;10011;2185,088766;,
Fuera SC;Fuera SC;25;San Juan de Rio Seco;25662;2018;9670;5799,354098;,
Fuera SC;Fuera SC;25;Sasaima;25718;2018;10828;1133,13088;,
A-Bogota;En aglomeracion;25;Sesquile;25736;2018;15415;3969,481949;,
A-Bogota;En aglomeracion;25;Sibate;25740;2018;40535;3290,374582;,
Fuera SC;Fuera SC;25;Silvania;25743;2018;22068;1484,127744;,
Fuera SC;Fuera SC;25;Simijaca;25745;2018;13741;381,137085;,
A-Bogota;En aglomeracion;25;Soacha;25754;2018;544997;5217,557647;,
A-Bogota;En aglomeracion;25;Sopo;25758;2018;28518;1374,673483;,
Fuera SC;Fuera SC;25;Subachoque;25769;2018;17077;6690,57063;,
Fuera SC;Fuera SC;25;Suesca;25772;2018;18375;740,113032;,
Fuera SC;Fuera SC;25;Supata;25777;2018;5027;2111,10427;,
Fuera SC;Fuera SC;25;Susa;25779;2018;13189;3020,71394;,
A-Bogota;En aglomeracion;25;Sutatausa;25781;2018;5809;584,172431;,
A-Bogota;En aglomeracion;25;Tabio;25785;2018;29042;754,640993;,
A-Bogota;En aglomeracion;25;Tausa;25793;2018;9106;17767,65256;,
Fuera SC;Fuera SC;25;Tena;25797;2018;9359;777,807333;,
Fuera SC;Fuera SC;25;Tenjo;25799;2018;20179;1385,00447;,
Fuera SC;Fuera SC;25;Tibacuy;25805;2018;4832;2984,899123;,
Fuera SC;Fuera SC;25;Tibirita;25807;2018;2938;1241,130883;,
Fuera SC;Fuera SC;25;Tocaima;25815;2018;18704;3326,169838;,
A-Bogota;En aglomeracion;25;Tocancipa;25817;2018;34554;728,712904;,
Fuera SC;Fuera SC;25;Topaipi;25823;2018;4493;3186,317635;,
Fuera SC;Fuera SC;25;Ubala;25839;2018;10337;16890,63492;,
Fuera SC;Fuera SC;25;Ubaque;25841;2018;5958;2382,29063;,
Fuera SC;Fuera SC;25;Ubate;25843;2018;39393;411,547661;,
Fuera SC;Fuera SC;25;Une;25845;2018;9561;12578,57707;,
Fuera SC;Fuera SC;25;Útica;25851;2018;5039;464,974885;,
Fuera SC;Fuera SC;25;Vergara;25862;2018;7719;1784,487136;,
Fuera SC;Fuera SC;25;Viani;25867;2018;4226;136,763025;,
Fuera SC;Fuera SC;25;Villagomez;25871;2018;2168;1098,822346;,
Fuera SC;Fuera SC;25;Villapinzon;25873;2018;20711;6866,629754;,
Fuera SC;Fuera SC;25;Villeta;25875;2018;25497;438,518086;,
Fuera SC;Fuera SC;25;Viota;25878;2018;13328;5899,648323;,
Fuera SC;Fuera SC;25;Yacopi;25885;2018;17113;25487,97584;,
Fuera SC;Fuera SC;25;Zipacon;25898;2018;5750;1572,276131;,
A-Bogota;En aglomeracion;25;Zipaquira;25899;2018;128426;8309,603283;,
SA-Otros SC;Uninodal;27;Quibdo;27001;2018;116178;323900,0826;,
Fuera SC;Fuera SC;27;Acandi;27006;2018;9335;57713,90335;,
Fuera SC;Fuera SC;27;Alto Baudo;27025;2018;39684;181917,4388;,
Fuera SC;Fuera SC;27;Atrato;27050;2018;10751;36374,9901;,
Fuera SC;Fuera SC;27;Bagado;27073;2018;7937;71774,76476;,
Fuera SC;Fuera SC;27;Bahia Solano;27075;2018;9400;80545,40512;,
Fuera SC;Fuera SC;27;Bajo Baudo;27077;2018;17733;306078,2407;,
Fuera SC;Fuera SC;27;Bojaya;27099;2018;10113;345612,8093;,
Fuera SC;Fuera SC;27;El Canton del San Pablo;27135;2018;8586;31687,83647;,
Fuera SC;Fuera SC;27;Carmen del Darien;27150;2018;5548;252977,7961;,
Fuera SC;Fuera SC;27;Certegui;27160;2018;10196;40006,36719;,
Fuera SC;Fuera SC;27;Condoto;27205;2018;15165;42077,00803;,
Fuera SC;Fuera SC;27;El Carmen de Atrato;27245;2018;14770;63627,48374;,
Fuera SC;Fuera SC;27;El Litoral del San Juan;27250;2018;16405;389751,1859;,
Fuera SC;Fuera SC;27;Istmina;27361;2018;25833;167082,9298;,
Fuera SC;Fuera SC;27;Jurado;27372;2018;3239;117439,8767;,
Fuera SC;Fuera SC;27;Lloro;27413;2018;11461;76282,38114;,
Fuera SC;Fuera SC;27;Medio Atrato;27425;2018;32486;165754,3292;,
Fuera SC;Fuera SC;27;Medio Baudo;27430;2018;14150;121001,6604;,
Fuera SC;Fuera SC;27;Medio San Juan;27450;2018;17456;59641,14789;,
Fuera SC;Fuera SC;27;Novita;27491;2018;7958;86049,55029;,
Fuera SC;Fuera SC;27;Nuqui;27495;2018;8866;64263,29421;,
Fuera SC;Fuera SC;27;Rio Iro;27580;2018;10218;29976,09511;,
Fuera SC;Fuera SC;27;Rio Quito;27600;2018;9292;63256,85051;,
Fuera SC;Fuera SC;27;Riosucio;27615;2018;28986;623902,8804;,
Fuera SC;Fuera SC;27;San Jose del Palmar;27660;2018;4740;142000,4828;,
Fuera SC;Fuera SC;27;Sipi;27745;2018;4219;151091,0535;,
Fuera SC;Fuera SC;27;Tado;27787;2018;19112;68327,82097;,
Fuera SC;Fuera SC;27;Unguia;27800;2018;15263;71012,93519;,
Fuera SC;Fuera SC;27;Union Panamericana;27810;2018;10065;13752,68789;,
SA-Otros SC;Uninodal;41;Neiva;41001;2018;347438;31295,59859;,
Fuera SC;Fuera SC;41;Acevedo;41006;2018;35107;27066,52475;,
Fuera SC;Fuera SC;41;Agrado;41013;2018;9223;200,495549;,
Fuera SC;Fuera SC;41;Aipe;41016;2018;28418;2948,563324;,
Fuera SC;Fuera SC;41;Algeciras;41020;2018;24662;31873,92603;,
Fuera SC;Fuera SC;41;Altamira;41026;2018;4538;419,200826;,
Fuera SC;Fuera SC;41;Baraya;41078;2018;9718;22749,0663;,
Fuera SC;Fuera SC;41;Campoalegre;41132;2018;34772;11460,48027;,
Fuera SC;Fuera SC;41;Colombia;41206;2018;12778;93199,33631;,
Fuera SC;Fuera SC;41;Elias;41244;2018;4130;354,680499;,
Fuera SC;Fuera SC;41;Garzon;41298;2018;94219;20916,51278;,
Fuera SC;Fuera SC;41;Gigante;41306;2018;34952;14036,25437;,
Fuera SC;Fuera SC;41;Guadalupe;41319;2018;22467;7259,857942;,
Fuera SC;Fuera SC;41;Hobo;41349;2018;7019;5255,141077;,
Fuera SC;Fuera SC;41;Íquira;41357;2018;13403;15609,94804;,
Fuera SC;Fuera SC;41;Isnos;41359;2018;28187;13671,40085;,
Fuera SC;Fuera SC;41;La Argentina;41378;2018;14797;26799,1183;,
Fuera SC;Fuera SC;41;La Plata;41396;2018;66072;21389,76285;,
Fuera SC;Fuera SC;41;Nataga;41483;2018;6496;1103,018518;,
Fuera SC;Fuera SC;41;Oporapa;41503;2018;14475;7778,911659;,
Fuera SC;Fuera SC;41;Paicol;41518;2018;5691;328,773005;,
Fuera SC;Fuera SC;41;Palermo;41524;2018;34406;8999,849917;,
Fuera SC;Fuera SC;41;Palestina;41530;2018;11950;8796,72776;,
Fuera SC;Fuera SC;41;Pital;41548;2018;13951;1849,20118;,
Fuera SC;Fuera SC;41;Pitalito;41551;2018;133205;11075,87906;,
Fuera SC;Fuera SC;41;Rivera;41615;2018;19378;10416,31833;,
Fuera SC;Fuera SC;41;Saladoblanco;41660;2018;11821;34868,1099;,
Fuera SC;Fuera SC;41;San Agustin;41668;2018;33814;110030,0482;,
Fuera SC;Fuera SC;41;Santa Maria;41676;2018;11646;14024,8972;,
Fuera SC;Fuera SC;41;Suaza;41770;2018;20558;10242,88791;,
Fuera SC;Fuera SC;41;Tarqui;41791;2018;18096;8322,218691;,
Fuera SC;Fuera SC;41;Tesalia;41797;2018;9346;461,239539;,
Fuera SC;Fuera SC;41;Tello;41799;2018;14448;11044,55803;,
Fuera SC;Fuera SC;41;Teruel;41801;2018;8876;30022,24;,
Fuera SC;Fuera SC;41;Timana;41807;2018;20423;1968,380204;,
Fuera SC;Fuera SC;41;Villavieja;41872;2018;7307;32196,59061;,
Fuera SC;Fuera SC;41;Yaguara;41885;2018;9294;4688,878485;,
SA-Riohacha-Maicao;Uninodal;44;Riohacha;44001;2018;286973;80676,64315;,
Fuera SC;Fuera SC;44;Albania;44035;2018;28044;18749,42994;,
Fuera SC;Fuera SC;44;Barrancas;44078;2018;36862;23330,69439;,
Fuera SC;Fuera SC;44;Dibulla;44090;2018;36636;123617,2045;,
Fuera SC;Fuera SC;44;Distraccion;44098;2018;16799;3574,773367;,
Fuera SC;Fuera SC;44;El Molino;44110;2018;9037;9142,370391;,
Fuera SC;Fuera SC;44;Fonseca;44279;2018;34762;14302,78295;,
Fuera SC;Fuera SC;44;Hatonuevo;44378;2018;27721;979,604547;,
Fuera SC;Fuera SC;44;La Jagua del Pilar;44420;2018;3308;6592,240485;,
SA-Riohacha-Maicao;Uninodal;44;Maicao;44430;2018;164424;13685,31845;,
Fuera SC;Fuera SC;44;Manaure;44560;2018;116248;9566,955213;,
Fuera SC;Fuera SC;44;San Juan del Cesar;44650;2018;38900;44115,44906;,
Fuera SC;Fuera SC;44;Uribia;44847;2018;192721;35477,52667;,
