Aglomeración;SC Función ciudades;Departamento;Municipio;Divipola;AÑO;Personas;Hectareas;,,
SA-Otros SC;Uninodal;52;Ipiales;52356;2018;148297;98694,4079;,
Fuera SC;Fuera SC;52;La Cruz;52378;2018;18292;10187,24261;,
Fuera SC;Fuera SC;52;La Florida;52381;2018;9297;3082,193733;,
Fuera SC;Fuera SC;52;La Llanada;52385;2018;5563;17928,73566;,
Fuera SC;Fuera SC;52;La Tola;52390;2018;14230;36474,18899;,
Fuera SC;Fuera SC;52;La Union;52399;2018;25483;648,898946;,
Fuera SC;Fuera SC;52;Leiva;52405;2018;14463;9001,493719;,
Fuera SC;Fuera SC;52;Linares;52411;2018;9525;2496,346298;,
Fuera SC;Fuera SC;52;Los Andes;52418;2018;20494;74518,4325;,
Fuera SC;Fuera SC;52;Magüi;52427;2018;24610;157807,5096;,
Fuera SC;Fuera SC;52;Mallama;52435;2018;7332;41049,86584;,
Fuera SC;Fuera SC;52;Mosquera;52473;2018;17783;68979,68579;,
A-Pasto;En aglomeracion;52;Nariñr;52480;2018;5074;580,44448;,
Fuera SC;Fuera SC;52;Olaya Herrera;52490;2018;32379;83335,83929;,
Fuera SC;Fuera SC;52;Ospina;52506;2018;8834;795,503418;,
Fuera SC;Fuera SC;52;Francisco Pizarro;52520;2018;16461;44473,31878;,
Fuera SC;Fuera SC;52;Policarpa;52540;2018;17783;21232,12355;,
Fuera SC;Fuera SC;52;Potosi;52560;2018;11830;28233,50139;,
Fuera SC;Fuera SC;52;Providencia;52565;2018;13711;1082,990429;,
Fuera SC;Fuera SC;52;Puerres;52573;2018;8186;28239,49304;,
Fuera SC;Fuera SC;52;Pupiales;52585;2018;19621;1627,634122;,
Fuera SC;Fuera SC;52;Ricaurte;52612;2018;19930;89554,22072;,
Fuera SC;Fuera SC;52;Roberto Payan;52621;2018;24695;116569,091;,
Fuera SC;Fuera SC;52;Samaniego;52678;2018;49270;37209,38405;,
Fuera SC;Fuera SC;52;Sandona;52683;2018;25746;2361,403702;,
Fuera SC;Fuera SC;52;San Bernardo;52685;2018;20908;667,242892;,
Fuera SC;Fuera SC;52;San Lorenzo;52687;2018;20283;982,20952;,
Fuera SC;Fuera SC;52;San Pablo;52693;2018;17217;573,366801;,
Fuera SC;Fuera SC;52;San Pedro de Cartago;52694;2018;7657;180,053018;,
Fuera SC;Fuera SC;52;Santa Barbara;52696;2018;14559;112047,5967;,
Fuera SC;Fuera SC;52;Santacruz;52699;2018;30900;35368,54741;,
Fuera SC;Fuera SC;52;Sapuyes;52720;2018;6017;3544,803675;,
Fuera SC;Fuera SC;52;Taminango;52786;2018;21629;825,608999;,
Fuera SC;Fuera SC;52;Tangua;52788;2018;9252;8729,434521;,
SA-Otros SC;Uninodal;52;San Andres de Tumaco;52835;2018;212692;196898,9136;,
Fuera SC;Fuera SC;52;Tuquerres;52838;2018;40276;5396,08377;,
Fuera SC;Fuera SC;52;Yacuanquer;52885;2018;11254;1599,188552;,
A-Cucuta;Centro aglomeracion;54;Cucuta;54001;2018;668838;18351,87149;,
Fuera SC;Fuera SC;54;Ábrego;54003;2018;39090;40268,08973;,
Fuera SC;Fuera SC;54;Arboledas;54051;2018;8946;31731,11786;,
Fuera SC;Fuera SC;54;Bochalema;54099;2018;7103;9563,466697;,
Fuera SC;Fuera SC;54;Bucarasica;54109;2018;4573;11974,30792;,
Fuera SC;Fuera SC;54;Cacota;54125;2018;1763;5939,637461;,
Fuera SC;Fuera SC;54;Cachira;54128;2018;11091;33252,35614;,
Fuera SC;Fuera SC;54;Chinacota;54172;2018;16848;9024,413203;,
Fuera SC;Fuera SC;54;Chitaga;54174;2018;10427;89871,81849;,
Fuera SC;Fuera SC;54;Convencion;54206;2018;12765;67749,16464;,
Fuera SC;Fuera SC;54;Cucutilla;54223;2018;7491;26542,2146;,
Fuera SC;Fuera SC;54;Durania;54239;2018;3679;8143,258426;,
Fuera SC;Fuera SC;54;El Carmen;54245;2018;13363;114674,1944;,
Fuera SC;Fuera SC;54;El Tarra;54250;2018;11025;25229,16495;,
Fuera SC;Fuera SC;54;El Zulia;54261;2018;23663;13099,97576;,
Fuera SC;Fuera SC;54;Gramalote;54313;2018;5370;4622,206392;,
Fuera SC;Fuera SC;54;Hacari;54344;2018;10860;20391,20805;,
Fuera SC;Fuera SC;54;Herran;54347;2018;3924;4428,210738;,
Fuera SC;Fuera SC;54;Labateca;54377;2018;5898;12832,58843;,
Fuera SC;Fuera SC;54;La Esperanza;54385;2018;12370;15863,8876;,
Fuera SC;Fuera SC;54;La Playa;54398;2018;8563;5408,119432;,
A-Cucuta;En aglomeracion;54;Los Patios;54405;2018;79336;6242,566214;,
Fuera SC;Fuera SC;54;Lourdes;54418;2018;3351;3554,026548;,
Fuera SC;Fuera SC;54;Mutiscua;54480;2018;3727;11724,04217;,
SA-Otros SC;Uninodal;54;Ocaña;54498;2018;100461;19538,47949;,
SA-Otros SC;Uninodal;54;Pamplona;54518;2018;58592;13766,01116;,
Fuera SC;Fuera SC;54;Pamplonita;54520;2018;4971;8677,364097;,
Fuera SC;Fuera SC;54;Puerto Santander;54553;2018;10757;194,671129;,
Fuera SC;Fuera SC;54;Ragonvalia;54599;2018;6907;2499,144432;,
Fuera SC;Fuera SC;54;Salazar;54660;2018;8870;29917,28674;,
Fuera SC;Fuera SC;54;San Calixto;54670;2018;13880;15735,43613;,
A-Cucuta;En aglomeracion;54;San Cayetano;54673;2018;5753;5339,667144;,
Fuera SC;Fuera SC;54;Santiago;54680;2018;2872;4244,840719;,
Fuera SC;Fuera SC;54;Sardinata;54720;2018;22596;67695,38258;,
Fuera SC;Fuera SC;54;Silos;54743;2018;4198;24788,01569;,
Fuera SC;Fuera SC;54;Teorama;54800;2018;22910;60968,40867;,
Fuera SC;Fuera SC;54;Tibu;54810;2018;37098;139519,9297;,
Fuera SC;Fuera SC;54;Toledo;54820;2018;17287;113625,7109;,
Fuera SC;Fuera SC;54;Villa Caro;54871;2018;5227;17644,67068;,
A-Cucuta;En aglomeracion;54;Villa del Rosario;54874;2018;94796;1865,46477;,
A-Armenia;Centro aglomeracion;63;Armenia;63001;2018;301224;48,650551;,
Fuera SC;Fuera SC;63;Buenavista;63111;2018;2758;300,714402;,
A-Armenia;En aglomeracion;63;Calarca;63130;2018;78779;4571,646626;,
A-Armenia;En aglomeracion;63;Circasia;63190;2018;30655;1948,30105;,
Fuera SC;Fuera SC;63;23;63212;2018;5268;4307,123218;,
Fuera SC;Fuera SC;63;Filandia;63272;2018;13580;3543,516684;,
Fuera SC;Fuera SC;63;Genova;63302;2018;7487;16494,1293;,
A-Armenia;En aglomeracion;63;La Tebaida;63401;2018;45242;145,642212;,
Fuera SC;Fuera SC;63;Montenegro;63470;2018;41722;420,459651;,
Fuera SC;Fuera SC;63;Pijao;63548;2018;6000;10900,89722;,
Fuera SC;Fuera SC;63;Quimbaya;63594;2018;35195;168,936936;,
Fuera SC;Fuera SC;63;Salento;63690;2018;7100;32127,00735;,
A-Pereira;Centro aglomeracion;66;Pereira;66001;2018;476636;18396,42369;,
Fuera SC;Fuera SC;66;Apia;66045;2018;19426;7796,240475;,
Fuera SC;Fuera SC;66;Balboa;66075;2018;6333;1125,975126;,
Fuera SC;Fuera SC;66;Belen de Umbria;66088;2018;27728;3018,75862;,
A-Pereira;En aglomeracion;66;Dosquebradas;66170;2018;204739;1999,779312;,
Fuera SC;Fuera SC;66;Guatica;66318;2018;15169;2654,15506;,
Fuera SC;Fuera SC;66;La Celia;66383;2018;8544;1966,20902;,
Fuera SC;Fuera SC;66;La Virginia;66400;2018;32265;1608,090033;,
Fuera SC;Fuera SC;66;Marsella;66440;2018;23917;992,79686;,
Fuera SC;Fuera SC;66;Mistrato;66456;2018;16595;45784,54986;,
Fuera SC;Fuera SC;66;Pueblo Rico;66572;2018;13817;52982,27528;,
Fuera SC;Fuera SC;66;Quinchia;66594;2018;33941;1499,751305;,
A-Pereira;En aglomeracion;66;Santa Rosa de Cabal;66682;2018;72836;39995,23601;,
Fuera SC;Fuera SC;66;Santuario;66687;2018;15821;6208,395271;,
A-Bucaramanga;Centro aglomeracion;68;Bucaramanga;68001;2018;528610;9553,038496;,
Fuera SC;Fuera SC;68;Aguada;68013;2018;1782;2576,715635;,
Fuera SC;Fuera SC;68;Albania;68020;2018;5289;4290,55731;,
Fuera SC;Fuera SC;68;Aratoca;68051;2018;8280;1213,31623;,
Fuera SC;Fuera SC;68;Barbosa;68077;2018;29352;66,548591;,
Fuera SC;Fuera SC;68;Barichara;68079;2018;7062;756,443107;,
SA-Bucaramanga;Uninodal;68;Barrancabermeja;68081;2018;191495;72033,59187;,
Fuera SC;Fuera SC;68;Betulia;68092;2018;5031;43009,98571;,
Fuera SC;Fuera SC;68;Bolivar;68101;2018;11919;52267,31813;,
Fuera SC;Fuera SC;68;Cabrera;68121;2018;2400;225,505647;,
Fuera SC;Fuera SC;68;California;68132;2018;2037;2676,201224;,
Fuera SC;Fuera SC;68;Capitanejo;68147;2018;5430;463,458323;,
Fuera SC;Fuera SC;68;Carcasi;68152;2018;4966;17768,36394;,
Fuera SC;Fuera SC;68;Cepita;68160;2018;1819;2142,142064;,
Fuera SC;Fuera SC;68;Cerrito;68162;2018;5532;37846,98402;,
Fuera SC;Fuera SC;68;Charala;68167;2018;10290;16656,68785;,
Fuera SC;Fuera SC;68;Charta;68169;2018;2549;7930,092374;,
Fuera SC;Fuera SC;68;Chima;68176;2018;3014;17321,22059;,
Fuera SC;Fuera SC;68;Chipata;68179;2018;5062;255,147039;,
Fuera SC;Fuera SC;68;Cimitarra;68190;2018;48328;77604,63668;,
Fuera SC;Fuera SC;68;Concepcion;68207;2018;5110;26689,62489;,
Fuera SC;Fuera SC;68;Confines;68209;2018;2695;907,22829;,
Fuera SC;Fuera SC;68;Contratacion;68211;2018;3352;13712,24603;,
Fuera SC;Fuera SC;68;Coromoro;68217;2018;7642;43833,57302;,
Fuera SC;Fuera SC;68;Curiti;68229;2018;12016;3012,488791;,
Fuera SC;Fuera SC;68;El Carmen de Chucuri;68235;2018;20671;76208,13737;,
Fuera SC;Fuera SC;68;El Guacamayo;68245;2018;1918;9296,762991;,
Fuera SC;Fuera SC;68;El Peñon;68250;2018;5038;27443,1481;,
Fuera SC;Fuera SC;68;El Playon;68255;2018;11385;27570,86787;,
Fuera SC;Fuera SC;68;Encino;68264;2018;2440;30228,52673;,
Fuera SC;Fuera SC;68;Enciso;68266;2018;3136;1548,139257;,
Fuera SC;Fuera SC;68;Florian;68271;2018;6276;5389,721991;,
A-Bucaramanga;En aglomeracion;68;Floridablanca;68276;2018;267124;7384,041658;,
Fuera SC;Fuera SC;68;Galan;68296;2018;2139;20172,50157;,
Fuera SC;Fuera SC;68;Gambita;68298;2018;5039;34447,35855;,
A-Bucaramanga;En aglomeracion;68;Giron;68307;2018;195499;14865,03318;,
Fuera SC;Fuera SC;68;Guaca;68318;2018;6264;21076,26175;,
Fuera SC;Fuera SC;68;Guadalupe;68320;2018;4519;1978,842114;,
Fuera SC;Fuera SC;68;Guapota;68322;2018;2096;809,750478;,
Fuera SC;Fuera SC;68;Guavata;68324;2018;3495;1322,118751;,
Fuera SC;Fuera SC;68;Güepsa;68327;2018;3730;172,42202;,
Fuera SC;Fuera SC;68;Hato;68344;2018;2324;16900,41017;,
Fuera SC;Fuera SC;68;Jesus Maria;68368;2018;3045;2030,592524;,
Fuera SC;Fuera SC;68;Jordan;68370;2018;1089;344,320171;,
Fuera SC;Fuera SC;68;La Belleza;68377;2018;8596;17928,4588;,
Fuera SC;Fuera SC;68;Landazuri;68385;2018;15430;51087,87196;,
Fuera SC;Fuera SC;68;La Paz;68397;2018;5027;16170,9085;,
Fuera SC;Fuera SC;68;Lebrija;68406;2018;41122;22735,46813;,
Fuera SC;Fuera SC;68;Los Santos;68418;2018;12539;595,106105;,
Fuera SC;Fuera SC;68;Macaravita;68425;2018;2263;2778,068384;,
SA-Otros SC;Uninodal;68;Malaga;68432;2018;18271;960,836205;,
Fuera SC;Fuera SC;68;Matanza;68444;2018;5147;13635,82894;,
Fuera SC;Fuera SC;68;Mogotes;68464;2018;10864;18544,44703;,
Fuera SC;Fuera SC;68;Molagavita;68468;2018;5029;3368,142641;,
Fuera SC;Fuera SC;68;Ocamonte;68498;2018;4702;983,84486;,
Fuera SC;Fuera SC;68;Oiba;68500;2018;11980;5842,18005;,
Fuera SC;Fuera SC;68;Onzaga;68502;2018;4895;31753,48897;,
Fuera SC;Fuera SC;68;Palmar;68522;2018;3474;1962,291071;,
Fuera SC;Fuera SC;68;Palmas del Socorro;68524;2018;2196;834,189865;,
Fuera SC;Fuera SC;68;Paramo;68533;2018;4252;370,328751;,
A-Bucaramanga;En aglomeracion;68;Piedecuesta;68547;2018;159760;19182,81236;,
Fuera SC;Fuera SC;68;Pinchote;68549;2018;5460;1033,939758;,
Fuera SC;Fuera SC;68;Puente Nacional;68572;2018;11900;2407,113754;,
Fuera SC;Fuera SC;68;Puerto Parra;68573;2018;7891;19646,09355;,
Fuera SC;Fuera SC;68;Puerto Wilches;68575;2018;31505;37154,30704;,
Fuera SC;Fuera SC;68;Rionegro;68615;2018;26461;33927,4977;,
Fuera SC;Fuera SC;68;Sabana de Torres;68655;2018;18149;37151,50335;,
Fuera SC;Fuera SC;68;San Andres;68669;2018;8208;12804,50258;,
Fuera SC;Fuera SC;68;San Benito;68673;2018;4007;188,186085;,
SA-Otros SC;Uninodal;68;San Gil;68679;2018;45891;1059,554335;,
Fuera SC;Fuera SC;68;San Joaquin;68682;2018;2371;5259,07296;,
Fuera SC;Fuera SC;68;San Jose de Miranda;68684;2018;4214;105,578416;,
Fuera SC;Fuera SC;68;San Miguel;68686;2018;2295;2723,890988;,
Fuera SC;Fuera SC;68;San Vicente de Chucuri;68689;2018;35000;91134,00857;,
Fuera SC;Fuera SC;68;Santa Barbara;68705;2018;2085;16493,05471;,
Fuera SC;Fuera SC;68;Santa Helena del Opon;68720;2018;4266;37381,63286;,
Fuera SC;Fuera SC;68;Simacota;68745;2018;7493;50376,51326;,
Fuera SC;Fuera SC;68;Socorro;68755;2018;30985;2145,39391;,
Fuera SC;Fuera SC;68;Suaita;68770;2018;10072;7245,42708;,
Fuera SC;Fuera SC;68;Sucre;68773;2018;8172;26202,90295;,
Fuera SC;Fuera SC;68;Surata;68780;2018;3196;19001,69893;,
Fuera SC;Fuera SC;68;Tona;68820;2018;7201;26296,42285;,
Fuera SC;Fuera SC;68;Valle de San Jose;68855;2018;4495;946,160789;,
Fuera SC;Fuera SC;68;Velez;68861;2018;18871;26383,26028;,
Fuera SC;Fuera SC;68;Vetas;68867;2018;2464;7854,098917;,
Fuera SC;Fuera SC;68;Villanueva;68872;2018;5548;143,64957;,
Fuera SC;Fuera SC;68;Zapatoca;68895;2018;8803;36435,99147;,
SA-Monteria-Sincelejo;Uninodal;70;Sincelejo;70001;2018;286749;261,455682;,
Fuera SC;Fuera SC;70;Buenavista;70110;2018;9746;40,766399;,
Fuera SC;Fuera SC;70;Caimito;70124;2018;12419;16711,54901;,
Fuera SC;Fuera SC;70;Coloso;70204;2018;5731;6028,797649;,
Fuera SC;Fuera SC;70;Corozal;70215;2018;63657;46,358865;,
Fuera SC;Fuera SC;70;Coveñas;70221;2018;14288;2112,510367;,
Fuera SC;Fuera SC;70;Chalan;70230;2018;4401;4460,8522;,
Fuera SC;Fuera SC;70;El Roble;70233;2018;10917;276,255327;,
Fuera SC;Fuera SC;70;Galeras;70235;2018;21199;1726,818829;,
Fuera SC;Fuera SC;70;Guaranda;70265;2018;18124;2480,402037;,
Fuera SC;Fuera SC;70;La Union;70400;2018;11454;88,755852;,
Fuera SC;Fuera SC;70;Los Palmitos;70418;2018;19224;474,821143;,
Fuera SC;Fuera SC;70;Majagual;70429;2018;33811;16924,59355;,
Fuera SC;Fuera SC;70;Morroa;70473;2018;14937;1512,433233;,
Fuera SC;Fuera SC;70;Ovejas;70508;2018;20906;4660,168978;,
Fuera SC;Fuera SC;70;Palmito;70523;2018;14499;188,225069;,
Fuera SC;Fuera SC;70;Sampues;70670;2018;38339;3,888164;,
Fuera SC;Fuera SC;70;San Benito Abad;70678;2018;26298;52361,1684;,
Fuera SC;Fuera SC;70;San Juan de Betulia;70702;2018;12583;11,489937;,
Fuera SC;Fuera SC;70;San Marcos;70708;2018;59237;16846,3538;,
Fuera SC;Fuera SC;70;San Onofre;70713;2018;51536;16833,48574;,
Fuera SC;Fuera SC;70;San Pedro;70717;2018;15925;11,839964;,
Fuera SC;Fuera SC;70;San Luis de Since;70742;2018;34681;51,068037;,
Fuera SC;Fuera SC;70;Sucre;70771;2018;22450;83450,56902;,
Fuera SC;Fuera SC;70;Santiago de Tolu;70820;2018;35054;5319,565074;,
Fuera SC;Fuera SC;70;Tolu Viejo;70823;2018;18892;3317,882583;,
SA-Otros SC;Uninodal;73;Ibague;73001;2018;569336;54117,81431;,
Fuera SC;Fuera SC;73;Alpujarra;73024;2018;4948;7649,34823;,
Fuera SC;Fuera SC;73;Alvarado;73026;2018;8777;4169,864962;,
Fuera SC;Fuera SC;73;Ambalema;73030;2018;6594;3914,486323;,
Fuera SC;Fuera SC;73;Anzoategui;73043;2018;19059;28016,77211;,
Fuera SC;Fuera SC;73;Armero Guayabal;73055;2018;11609;5046,857619;,
Fuera SC;Fuera SC;73;Ataco;73067;2018;22752;4984,324373;,
Fuera SC;Fuera SC;73;Cajamarca;73124;2018;19611;24154,14872;,
Fuera SC;Fuera SC;73;Carmen de Apicala;73148;2018;8916;6112,439123;,
Fuera SC;Fuera SC;73;Casabianca;73152;2018;6603;8905,683066;,
Fuera SC;Fuera SC;73;Chaparral;73168;2018;47344;85220,31432;,
Fuera SC;Fuera SC;73;Coello;73200;2018;9963;6343,898089;,
Fuera SC;Fuera SC;73;Coyaima;73217;2018;28412;4627,314495;,
Fuera SC;Fuera SC;73;Cunday;73226;2018;9459;5125,141667;,
Fuera SC;Fuera SC;73;Dolores;73236;2018;7826;12208,16802;,
Fuera SC;Fuera SC;73;Espinal;73268;2018;75949;826,224902;,
Fuera SC;Fuera SC;73;Falan;73270;2018;9196;2484,920399;,
A-Girardot;En aglomeracion;73;Flandes;73275;2018;29377;752,427419;,
Fuera SC;Fuera SC;73;Fresno;73283;2018;29917;3391,171168;,
Fuera SC;Fuera SC;73;Guamo;73319;2018;31605;2315,254499;,
Fuera SC;Fuera SC;73;Herveo;73347;2018;7795;15970,90785;,
SA-Otros SC;Uninodal;73;Honda;73349;2018;24077;11527,04258;,
Fuera SC;Fuera SC;73;Icononzo;73352;2018;10705;2756,226467;,
Fuera SC;Fuera SC;73;Lerida;73408;2018;17013;1450,717183;,
Fuera SC;Fuera SC;73;Libano;73411;2018;39866;4658,983039;,
Fuera SC;Fuera SC;73;Mariquita;73443;2018;33358;3754,196715;,
Fuera SC;Fuera SC;73;Melgar;73449;2018;36930;5062,842199;,
Fuera SC;Fuera SC;73;Murillo;73461;2018;5001;22308,32636;,
Fuera SC;Fuera SC;73;Natagaima;73483;2018;22390;8686,699283;,
Fuera SC;Fuera SC;73;Ortega;73504;2018;32256;6799,17639;,
Fuera SC;Fuera SC;73;Palocabildo;73520;2018;9090;679,778219;,
Fuera SC;Fuera SC;73;Piedras;73547;2018;5683;6172,325762;,
Fuera SC;Fuera SC;73;Planadas;73555;2018;30066;127704,5185;,
Fuera SC;Fuera SC;73;Prado;73563;2018;7513;9068,884785;,
Fuera SC;Fuera SC;73;Purificacion;73585;2018;29665;5718,529886;,
Fuera SC;Fuera SC;73;Rioblanco;73616;2018;24244;153469,1174;,
Fuera SC;Fuera SC;73;Roncesvalles;73622;2018;6352;45922,71813;,
Fuera SC;Fuera SC;73;Rovira;73624;2018;20349;17302,24259;,
Fuera SC;Fuera SC;73;Saldaña;73671;2018;14255;1511,008135;,
Fuera SC;Fuera SC;73;San Antonio;73675;2018;14138;13551,46061;,
Fuera SC;Fuera SC;73;San Luis;73678;2018;19130;2628,858535;,
Fuera SC;Fuera SC;73;Santa Isabel;73686;2018;6319;13533,39183;,
Fuera SC;Fuera SC;73;Suarez;73770;2018;4547;5449,14663;,
Fuera SC;Fuera SC;73;Valle de San Juan;73854;2018;6405;1002,461494;,
Fuera SC;Fuera SC;73;Venadillo;73861;2018;19764;2514,109233;,
Fuera SC;Fuera SC;73;Villahermosa;73870;2018;10531;11037,37266;,
Fuera SC;Fuera SC;73;Villarrica;73873;2018;5252;24526,81954;,
A-Cali;Centro aglomeracion;76;Cali;76001;2018;2445405;23544,67337;,
Fuera SC;Fuera SC;76;Alcala;76020;2018;22710;63,648239;,
A-Tulua;En aglomeracion;76;Andalucia;76036;2018;17738;435,472734;,
Fuera SC;Fuera SC;76;Ansermanuevo;76041;2018;19252;2139,40319;,
Fuera SC;Fuera SC;76;Argelia;76054;2018;6364;1600,84388;,
Fuera SC;Fuera SC;76;13;76100;2018;12961;39267,00892;,
SA-Cali-Norte Valle;Uninodal;76;Buenaventura;76109;2018;424047;588761,8187;,
SA-Cali-Norte Valle;Uninodal;76;Guadalajara de Buga;76111;2018;114562;41516,68607;,
Fuera SC;Fuera SC;76;Bugalagrande;76113;2018;21017;1350,290289;,
Fuera SC;Fuera SC;76;Caicedonia;76122;2018;29526;745,744307;,
Fuera SC;Fuera SC;76;Calima;76126;2018;15848;63550,72698;,
A-Cali;En aglomeracion;76;Candelaria;76130;2018;85352;;,,
SA-Eje Cafetero;Uninodal;76;Cartago;76147;2018;134308;455,87611;,
Fuera SC;Fuera SC;76;Dagua;76233;2018;36775;65338,41415;,
Fuera SC;Fuera SC;76;El Águila;76243;2018;11209;6520,659551;,
Fuera SC;Fuera SC;76;El Cairo;76246;2018;10184;7321,038556;,
Fuera SC;Fuera SC;76;El Cerrito;76248;2018;58296;16564,41633;,
Fuera SC;Fuera SC;76;El Dovio;76250;2018;8236;7155,271041;,
A-Cali;En aglomeracion;76;Florida;76275;2018;58775;17346,37192;,
Fuera SC;Fuera SC;76;Ginebra;76306;2018;21624;16524,48757;,
Fuera SC;Fuera SC;76;Guacari;76318;2018;35377;2832,038157;,
A-Cali;En aglomeracion;76;Jamundi;76364;2018;127228;17015,2983;,
Fuera SC;Fuera SC;76;La Cumbre;76377;2018;11672;8106,992629;,
Fuera SC;Fuera SC;76;La Union;76400;2018;39671;3519,088446;,
Fuera SC;Fuera SC;76;La Victoria;76403;2018;12994;1723,563824;,
Fuera SC;Fuera SC;76;Obando;76497;2018;15229;963,499407;,
SA-Cali-Norte Valle;Uninodal;76;Palmira;76520;2018;310594;36954,22428;,
A-Cali;En aglomeracion;76;Pradera;76563;2018;57257;10536,98838;,
Fuera SC;Fuera SC;76;Restrepo;76606;2018;16365;4078,667163;,
Fuera SC;Fuera SC;76;Riofrio;76616;2018;14029;9367,892806;,
Fuera SC;Fuera SC;76;Roldanillo;76622;2018;32226;6943,869992;,
Fuera SC;Fuera SC;76;San Pedro;76670;2018;18882;2568,204456;,
Fuera SC;Fuera SC;76;Sevilla;76736;2018;44311;16925,92425;,
Fuera SC;Fuera SC;76;Toro;76823;2018;16598;2341,325723;,
Fuera SC;Fuera SC;76;Trujillo;76828;2018;17919;5835,948165;,
A-Tulua;Centro aglomeracion;76;Tulua;76834;2018;219148;30063,96339;,
Fuera SC;Fuera SC;76;Ulloa;76845;2018;5336;52,918399;,
Fuera SC;Fuera SC;76;Versalles;76863;2018;6926;3520,022338;,
A-Cali;En aglomeracion;76;Vijes;76869;2018;11409;1824,036343;,
Fuera SC;Fuera SC;76;Yotoco;76890;2018;16491;7668,604327;,
A-Cali;En aglomeracion;76;Yumbo;76892;2018;125663;2541,272179;,
Fuera SC;Fuera SC;76;Zarzal;76895;2018;46599;1204,109077;,
SA-Otros SC;Uninodal;81;Arauca;81001;2018;92107;88461,43516;,
Fuera SC;Fuera SC;81;Arauquita;81065;2018;42580;71399,56676;,
Fuera SC;Fuera SC;81;Cravo Norte;81220;2018;3226;46203,80953;,
Fuera SC;Fuera SC;81;Fortul;81300;2018;26454;58678,95947;,
Fuera SC;Fuera SC;81;Puerto Rondon;81591;2018;3825;49674,9835;,
Fuera SC;Fuera SC;81;Saravena;81736;2018;48318;36730,3899;,
Fuera SC;Fuera SC;81;Tame;81794;2018;54198;251204,2758;,
SA-Otros SC;Uninodal;85;Yopal;85001;2018;149426;34566,50647;,
Fuera SC;Fuera SC;85;Aguazul;85010;2018;41994;30764,78326;,
Fuera SC;Fuera SC;85;Chameza;85015;2018;2603;18452,59326;,
Fuera SC;Fuera SC;85;Hato Corozal;85125;2018;12794;90988,81193;,
Fuera SC;Fuera SC;85;La Salina;85136;2018;1465;15282,76072;,
Fuera SC;Fuera SC;85;Mani;85139;2018;11123;51007,47492;,
Fuera SC;Fuera SC;85;Monterrey;85162;2018;15399;16019,91415;,
Fuera SC;Fuera SC;85;Nunchia;85225;2018;8928;9782,843803;,
Fuera SC;Fuera SC;85;Orocue;85230;2018;8424;59896,16539;,
Fuera SC;Fuera SC;85;Paz de Ariporo;85250;2018;26357;132811,9239;,
Fuera SC;Fuera SC;85;Pore;85263;2018;7909;7612,457492;,
Fuera SC;Fuera SC;85;Recetor;85279;2018;4528;5613,867025;,
Fuera SC;Fuera SC;85;Sabanalarga;85300;2018;2856;10493,97077;,
Fuera SC;Fuera SC;85;Sacama;85315;2018;2085;26086,5105;,
Fuera SC;Fuera SC;85;San Luis de Palenque;85325;2018;7905;56765,55947;,
Fuera SC;Fuera SC;85;Tamara;85400;2018;7029;57520,30115;,
Fuera SC;Fuera SC;85;Tauramena;85410;2018;24066;63078,59072;,
Fuera SC;Fuera SC;85;Trinidad;85430;2018;15840;55765,68196;,
Fuera SC;Fuera SC;85;Villanueva;85440;2018;24518;12352,70392;,
SA-Otros SC;Uninodal;86;Mocoa;86001;2018;44631;100969,744;,
Fuera SC;Fuera SC;86;Colon;86219;2018;5651;2692,954992;,
Fuera SC;Fuera SC;86;Orito;86320;2018;56365;106294,4472;,
SA-Otros SC;Uninodal;86;Puerto Asis;86568;2018;62232;170815,0042;,
Fuera SC;Fuera SC;86;Puerto Caicedo;86569;2018;14729;47257,68951;,
Fuera SC;Fuera SC;86;Puerto Guzman;86571;2018;24169;284320,6656;,
Fuera SC;Fuera SC;86;Leguizamo;86573;2018;15380;970424,7164;,
Fuera SC;Fuera SC;86;Sibundoy;86749;2018;14396;4731,339781;,
Fuera SC;Fuera SC;86;San Francisco;86755;2018;7190;33506,71568;,
Fuera SC;Fuera SC;86;San Miguel;86757;2018;28329;7325,104598;,
Fuera SC;Fuera SC;86;Santiago;86760;2018;10776;26401,35872;,
Fuera SC;Fuera SC;86;Valle del Guamuez;86865;2018;53649;19376,92513;,
Fuera SC;Fuera SC;86;Villagarzon;86885;2018;21399;84741,49854;,
SA-Otros SC;Uninodal;88;San Andres;88001;2018;73221;66,360851;,
Fuera SC;Fuera SC;88;Providencia;88564;2018;5192;681,816196;,
SA-Otros SC;Uninodal;91;Leticia;91001;2018;42280;598341,0914;,
Fuera SC;Fuera SC;91;El Encanto (ANM);91263;2018;4972;1050497,8;,
Fuera SC;Fuera SC;91;La Chorrera (ANM);91405;2018;4044;1259004,678;,
Fuera SC;Fuera SC;91;La Pedrera (ANM);91407;2018;5417;1351070,591;,
Fuera SC;Fuera SC;91;La Victoria (ANM);91430;2018;1140;142351,9886;,
Fuera SC;Fuera SC;91;Miriti - Parana (ANM);91460;2018;1515;1668025,169;,
Fuera SC;Fuera SC;91;Puerto Alegria (ANM);91530;2018;2196;830459,3794;,
Fuera SC;Fuera SC;91;Puerto Arica (ANM);91536;2018;1320;1356368,577;,
Fuera SC;Fuera SC;91;Puerto Nariño;91540;2018;8519;138134,5497;,
